T 9,Adopted,Lower,Upper,SKM
0.001,4.809E09,4.784E09,4.836E09,1.35
0.002,4.688E09,4.665E09,4.714E09,1.33
0.003,4.599E09,4.577E09,4.624E09,1.32
0.004,4.527E09,4.505E09,4.551E09,1.31
0.005,4.464E09,4.443E09,4.488E09,1.30
0.006,4.409E09,4.388E09,4.432E09,1.30
0.007,4.359E09,4.339E09,4.382E09,1.29
0.008,4.314E09,4.294E09,4.336E09,1.28
0.009,4.272E09,4.253E09,4.293E09,1.28
0.010,4.233E09,4.214E09,4.254E09,1.27
0.011,4.196E09,4.178E09,4.217E09,1.26
0.012,4.162E09,4.144E09,4.182E09,1.25
0.013,4.129E09,4.111E09,4.149E09,1.23
0.014,4.098E09,4.081E09,4.118E09,1.22
0.015,4.069E09,4.051E09,4.088E09,1.20
0.016,4.041E09,4.024E09,4.060E09,1.19
0.018,3.988E09,3.971E09,4.007E09,1.15
0.020,3.939E09,3.923E09,3.957E09,1.12
0.025,3.830E09,3.815E09,3.848E09,1.06
0.030,3.737E09,3.722E09,3.753E09,1.01
0.040,3.579E09,3.566E09,3.594E09,0.95
0.050,3.450E09,3.438E09,3.464E09,0.93
0.060,3.340E09,3.328E09,3.353E09,0.93
0.070,3.244E09,3.233E09,3.256E09,0.93
0.080,3.159E09,3.148E09,3.170E09,0.93
0.090,3.082E09,3.072E09,3.093E09,0.94
0.100,3.013E09,3.003E09,3.023E09,0.95
0.110,2.949E09,2.940E09,2.959E09,0.95
0.120,2.890E09,2.882E09,2.900E09,0.96
0.130,2.836E09,2.828E09,2.845E09,0.96
0.140,2.786E09,2.778E09,2.794E09,0.97
0.150,2.738E09,2.731E09,2.747E09,0.97
0.160,2.694E09,2.687E09,2.702E09,0.98
0.180,2.612E09,2.606E09,2.620E09,0.98
0.200,2.539E09,2.533E09,2.547E09,0.99
0.250,2.385E09,2.379E09,2.392E09,0.99
0.300,2.260E09,2.255E09,2.267E09,0.99
0.350,2.157E09,2.152E09,2.163E09,0.99
0.400,2.070E09,2.065E09,2.076E09,0.98
0.450,1.995E09,1.990E09,2.002E09,0.98
0.500,1.932E09,1.927E09,1.939E09,0.97
0.600,1.829E09,1.824E09,1.837E09,0.97
0.700,1.752E09,1.745E09,1.760E09,0.97
0.800,1.692E09,1.684E09,1.701E09,0.97
0.900,1.644E09,1.635E09,1.654E09,0.97
1.000,1.605E09,1.595E09,1.616E09,0.98
1.250,1.531E09,1.519E09,1.543E09,0.99
1.500,1.474E09,1.460E09,1.488E09,1.01
1.750,1.426E09,1.411E09,1.440E09,1.02
2.000,1.382E09,1.366E09,1.397E09,1.03
2.500,1.303E09,1.286E09,1.319E09,1.04
3.000,1.233E09,1.216E09,1.249E09,1.04
3.500,1.172E09,1.155E09,1.188E09,1.04
4.000,1.119E09,1.102E09,1.135E09,1.03
5.000,1.032E09,1.015E09,1.048E09,1.01
6.000,9.645E08,9.468E08,9.812E08,1.00
7.000,9.125E08,8.924E08,9.303E08,0.98
8.000,8.716E08,8.466E08,8.915E08,0.96
9.000,8.394E08,8.054E08,8.630E08,0.95
10.000,8.148E08,7.660E08,8.442E08,0.94